commodity,imports,exports,total
Mineral fuels & oils,351848601503,1324640649588,1676489251091
Vehicles,821941551127,542636483647,1364578034774
Machinery & mechanical appliances,793565039716,381873440601,1175438480317
Electrical equipment,497143756370,151870218061,649013974431
Precious metals & stones,204028803432,328559310456,532588113888
Plastics,194323204935,153284694727,347607899662
Confidential / low-value (CA),115134954648,194104381332,309239335980
Pharmaceuticals,181469995421,97769924485,279239919906
Optical & medical instruments,145967689217,80213404954,226181094171
Aircraft & spacecraft,84708906522,117098109984,201807016506
Wood & wood articles,34003392025,150356601676,184359993701
Articles of iron & steel,116614668407,56717156141,173331824548
Aluminium,51115006668,118955746393,170070753061
Iron & steel,83699038542,81967856516,165666895058
Furniture,96386095094,59071241299,155457336393
"Ores, slag & ash",37279877726,114885074480,152164952206
Paper & paperboard,65492648431,76339079841,141831728272
Organic chemicals,76043180013,38085762276,114128942289
Misc chemical products,71084755554,36603012570,107687768124
Cereals,13352213328,93356952708,106709166036
Inorganic chemicals,51085274053,53546645711,104631919764
Rubber,69855930781,34511352820,104367283601
Fertilizers,24214796192,79368108893,103582905085
Prepared cereals,40107666809,59597985257,99705652066
Meat & offal,26624910458,71708715014,98333625472
Vegetables,37159351570,58824994041,95984345611
Oil seeds,12538785018,79137732715,91676517733
Fish & seafood,25222230104,54950213655,80172443759
Copper,35254409078,43823833514,79078242592
Beverages & spirits,59793488044,15882071240,75675559284
Cosmetics & perfumes,45201045811,24680838989,69881884800
Animal/veg fats & oils,17638601289,51855329826,69493931115
Fruit & nuts,57623259848,8634509888,66257769736
Knitted apparel,58986413662,5446173278,64432586940
Wood pulp,5012535065,57399099953,62411635018
Misc food preparations,37210936307,24506632679,61717568986
Toys & sports equipment,51275367577,9131943727,60407311304
Woven apparel,48704992399,9003936419,57708928818
Food industry residues,25125768807,31275540738,56401309545
Prepared vegetables,27630487355,28218541333,55849028688
Cocoa & cocoa products,24550010192,24862905868,49412916060
Miscellaneous metal articles,29185915402,16935199761,46121115163
Soap & cleaning products,31174441613,11749314071,42923755684
Nickel,5339952713,36441951232,41781903945
Tanning & dye extracts,26397248778,11973629075,38370877853
Glass,26612911494,6683529515,33296441009
"Salt, sulphur, stone, cement",11028901654,21113720057,32142621711
Stone & cement articles,19021008665,12611634217,31632642882
Special transactions (CA),2375757894,28735041781,31110799675
"Coffee, tea & spices",22686480690,7937836890,30624317580
Tools & cutlery,23141629947,6772815944,29914445891
Prepared meat & fish,16617441592,12898296115,29515737707
Printed books & media,20627971130,8509480016,29137451146
Sugars,15056224922,12725204648,27781429570
Live animals,7222552169,20525069278,27747621447
Footwear,25625011597,1854456299,27479467896
Miscellaneous manufactures,17249400258,9317677191,26567077449
Other made-up textiles,19805351162,3842717408,23648068570
Leather goods,19186449021,2499411707,21685860728
Railway equipment,16002125272,3009994962,19012120234
Ships & boats,15184650064,2834176254,18018826318
Protein substances,12428191156,3677002088,16105193244
Milling products,4045905840,11785027327,15830933167
Zinc,1094974102,14178277477,15273251579
Dairy products,10379510161,4694080418,15073590579
Other base metals,6952347330,7091367930,14043715260
Ceramic products,12016406456,1036184445,13052590901
Live trees & plants,5370987680,7131028672,12502016352
Wadding & felt,8072010652,2327136371,10399147023
Coated textiles,5382244928,4500594500,9882839428
Arms & ammunition,4842271536,3429226023,8271497559
Carpets,7118542568,648718959,7767261527
Clocks & watches,6129536796,903852873,7033389669
Man-made filaments,4336338029,2626428267,6962766296
Tobacco,4118031570,1792629945,5910661515
Other animal products,2400675299,3082235399,5482910698
Explosives,2281916442,2901382983,5183299425
Headgear,4345720073,784099925,5129819998
Works of art,2447293543,2289786424,4737079967
Lead,242947704,4416070661,4659018365
Man-made staple fibres,3027028292,716003535,3743031827
Musical instruments,2374504967,800396010,3174900977
Resins & gums,2129327805,684731961,2814059766
Knitted fabrics,1700826077,709412586,2410238663
Special woven fabrics,1277268031,873555606,2150823637
Raw hides & skins,612724822,1437408762,2050133584
Feathers & artificial flowers,1300447119,150406495,1450853614
Furskins,560212836,818449361,1378662197
Cotton,1061922757,223111357,1285034114
Tin,840113193,307042092,1147155285
Photographic goods,861533883,153881154,1015415037
Umbrellas,889314761,60609504,949924265
Wool,728876307,201051724,929928031
Basketware,448999430,331965862,780965292
Vegetable textile fibres,342597717,60706130,403303847
Cork,225542440,47523847,273066287
Vegetable materials,196463725,36387997,232851722
Silk,46150269,4901112,51051381
