partner,imports,exports,total
United States of America,2508140975131,3892652502468,6400793477599
China,642431687834,217513079516,859944767350
Mexico,314009731692,61492538978,375502270670
United Kingdom,67043608663,201585416980,268629025643
Japan,135249121456,108402988704,243652110160
Germany,162746315704,54689312270,217435627974
"Korea, South",100003820528,50206383275,150210203803
Italy,85977555178,24101339277,110078894455
Viet Nam,93620921332,7120117165,100741038497
France,63259853600,31717223310,94977076910
India,54200518983,33196018361,87396537344
Brazil,63842289751,21885442249,85727732000
Netherlands,32411141395,50782957501,83194098896
Switzerland,54171357357,24385541815,78556899172
Taiwan,55651449567,15577230046,71228679613
Belgium,34076426545,27898424508,61974851053
Peru,37763326562,9444891869,47208218431
Spain,28693796055,16291772621,44985568676
Thailand,35815007644,7598826361,43413834005
Australia,21643771417,20898554366,42542325783
Indonesia,19471376863,18334901119,37806277982
Canada,37367170608,1357290,37368527898
Malaysia,27462655437,9030964216,36493619653
Ireland,27993487723,6350332072,34343819795
Saudi Arabia,18480080291,13615789783,32095870074
Sweden,25815138882,4825382803,30640521685
Hong Kong,3076436274,26854087355,29930523629
Poland,21151162266,7880996421,29032158687
Norway,8433410883,20415336891,28848747774
T�rkiye,18219408094,7808717145,26028125239
Bangladesh,16321610256,8980424707,25302034963
Singapore,10217987231,14012361487,24230348718
Chile,15431643157,7288618293,22720261450
Austria,19443530160,2559371658,22002901818
Philippines,13165358396,8535979938,21701338334
Colombia,11898597310,8072546555,19971143865
United Arab Emirates,4322180275,15388005557,19710185832
Nigeria,14051625177,4622547347,18674172524
Denmark,14581067119,2926716341,17507783460
Finland,11360367228,4974128054,16334495282
Cambodia,15909245664,325981346,16235227010
Portugal,12319722103,3036131411,15355853514
Israel,10241898077,3737390391,13979288468
Argentina,10666987634,2693658026,13360645660
South Africa,9733537785,1808642091,11542179876
Morocco,5706576562,5460337453,11166914015
New Zealand,7467512371,3526416767,10993929138
Egypt,6809385589,4180592554,10989978143
Algeria,1393908703,8561467643,9955376346
Ecuador,5333471687,4101241135,9434712822
Czechia,7171913862,1975306516,9147220378
Guatemala,5994609759,2606705397,8601315156
Russian Federation,6228039687,2319846076,8547885763
Pakistan,4378552469,4120750302,8499302771
