date,partner,imports,exports,total
2019-01,United States of America,23659871719,33392620110,57052491829
2019-01,China,6745728064,1835286298,8581014362
2019-01,Mexico,2795164663,662568343,3457733006
2019-01,United Kingdom,852820874,2035447969,2888268843
2019-01,Japan,1152296773,1004641727,2156938500
2019-01,Germany,1458205353,384851484,1843056837
2019-01,"Korea, South",703563957,493532834,1197096791
2019-01,France,652117373,244993915,897111288
2019-01,Italy,685574443,201191816,886766259
2019-01,India,407400980,417924062,825325042
2019-01,Belgium,417427671,321031137,738458808
2019-01,Netherlands,290303110,403047337,693350447
2019-01,Taiwan,552880867,139168841,692049708
2019-01,Viet Nam,521406614,94474495,615881109
2019-01,Brazil,466145329,132062878,598208207
2019-01,Switzerland,401608598,146826283,548434881
2019-01,Australia,261380984,144659493,406040477
2019-01,Spain,280283901,97013735,377297636
2019-01,Thailand,291640232,84276565,375916797
2019-01,Peru,224645921,70242691,294888612
2019-02,United States of America,24599370779,32239630924,56839001703
2019-02,China,5404352413,1775691219,7180043632
2019-02,Mexico,2684907157,524308469,3209215626
2019-02,Japan,1345435921,790664050,2136099971
2019-02,United Kingdom,683367540,1298428656,1981796196
2019-02,Germany,1380173848,401846886,1782020734
2019-02,"Korea, South",770917916,503774297,1274692213
2019-02,Italy,670796393,329033224,999829617
2019-02,France,750094194,211083884,961178078
2019-02,Belgium,430948334,363200107,794148441
2019-02,India,428731578,356843525,785575103
2019-02,Taiwan,438624271,178420937,617045208
2019-02,Brazil,442853396,149107354,591960750
2019-02,Netherlands,276173035,231885744,508058779
2019-02,Viet Nam,421535864,66127147,487663011
2019-02,Spain,226314971,214831350,441146321
2019-02,Switzerland,364992065,64051909,429043974
2019-02,Thailand,239063694,57151362,296215056
2019-02,Peru,253961435,36765660,290727095
2019-02,Australia,114461553,171641221,286102774
2019-03,United States of America,27843128663,38980640187,66823768850
2019-03,China,5906362154,2148093714,8054455868
2019-03,Mexico,3530599462,666674422,4197273884
2019-03,Japan,1618131772,1142826926,2760958698
2019-03,United Kingdom,830394284,1727959711,2558353995
2019-03,Germany,1703183928,582414809,2285598737
2019-03,"Korea, South",766498945,450691377,1217190322
2019-03,India,453123316,557133899,1010257215
2019-03,Italy,795226851,184600409,979827260
2019-03,France,664943699,306882177,971825876
2019-03,Netherlands,367234219,453485160,820719379
2019-03,Taiwan,522648432,184807825,707456257
2019-03,Viet Nam,601842755,78044914,679887669
