month,exports_cad,imports_cad,balance_cad
2025-06,777000000,614000000,163000000
2025-07,462000000,781000000,-319000000
2025-08,575000000,728000000,-153000000
2025-09,521000000,604000000,-83000000
2025-10,796000000,1058000000,-262000000
2025-11,494000000,932000000,-438000000
2025-12,466000000,530000000,-64000000
2026-01,497000000,723000000,-226000000
2026-02,569000000,1017000000,-448000000
2026-03,758000000,527000000,231000000
2026-04,737000000,703000000,34000000
2026-05,816000000,1058000000,-242000000
