code,imports,name,exports,total,period_start,period_end
ON,482691277595,Ontario,0,482691277595,2025-06,2026-05
QC,115209005652,Quebec,0,115209005652,2025-06,2026-05
BC,77213502010,British Columbia,0,77213502010,2025-06,2026-05
AB,36408612516,Alberta,0,36408612516,2025-06,2026-05
MB,32598941312,Manitoba,0,32598941312,2025-06,2026-05
SK,18227746456,Saskatchewan,0,18227746456,2025-06,2026-05
NB,16595305560,New Brunswick,0,16595305560,2025-06,2026-05
NS,12179795267,Nova Scotia,0,12179795267,2025-06,2026-05
NL,5410385405,Newfoundland & Labrador,0,5410385405,2025-06,2026-05
NU,276943129,Nunavut,0,276943129,2025-06,2026-05
PE,246231296,Prince Edward Island,0,246231296,2025-06,2026-05
YT,102184397,Yukon,0,102184397,2025-06,2026-05
NT,47674149,Northwest Territories,0,47674149,2025-06,2026-05
