code,hs2,imports,commodity,exports,total
ON,87,96011442172,Vehicles,0,96011442172
ON,84,66389605953,Machinery & mechanical appliances,0,66389605953
ON,85,47885730253,Electrical equipment,0,47885730253
ON,71,41544198968,Precious metals & stones,0,41544198968
ON,30,19606310282,Pharmaceuticals,0,19606310282
QC,84,19034121488,Machinery & mechanical appliances,0,19034121488
ON,39,16737910760,Plastics,0,16737910760
ON,90,14778074750,Optical & medical instruments,0,14778074750
BC,84,13138174318,Machinery & mechanical appliances,0,13138174318
ON,99,12785009053,Confidential / low-value (CA),0,12785009053
NB,27,12535674919,Mineral fuels & oils,0,12535674919
QC,27,10763582775,Mineral fuels & oils,0,10763582775
ON,27,10576358592,Mineral fuels & oils,0,10576358592
QC,85,9872757563,Electrical equipment,0,9872757563
MB,84,8047473369,Machinery & mechanical appliances,0,8047473369
BC,87,7949480109,Vehicles,0,7949480109
ON,73,7533614004,Articles of iron & steel,0,7533614004
BC,85,6904186524,Electrical equipment,0,6904186524
ON,94,6834972862,Furniture,0,6834972862
ON,29,6763914514,Organic chemicals,0,6763914514
AB,84,6615920001,Machinery & mechanical appliances,0,6615920001
ON,72,6236517752,Iron & steel,0,6236517752
QC,30,6172063663,Pharmaceuticals,0,6172063663
NS,87,5822642993,Vehicles,0,5822642993
ON,48,5653140155,Paper & paperboard,0,5653140155
SK,84,5388344594,Machinery & mechanical appliances,0,5388344594
ON,33,5360812908,Cosmetics & perfumes,0,5360812908
QC,88,5335940538,Aircraft & spacecraft,0,5335940538
ON,38,4826348736,Misc chemical products,0,4826348736
ON,08,4685865104,Fruit & nuts,0,4685865104
ON,40,4621402536,Rubber,0,4621402536
AB,27,4596093051,Mineral fuels & oils,0,4596093051
QC,87,4525295347,Vehicles,0,4525295347
ON,95,4509868993,Toys & sports equipment,0,4509868993
ON,88,4421156442,Aircraft & spacecraft,0,4421156442
ON,61,4408206706,Knitted apparel,0,4408206706
ON,76,4310738930,Aluminium,0,4310738930
ON,21,4251540076,Misc food preparations,0,4251540076
ON,19,4233027769,Prepared cereals,0,4233027769
MB,27,4079128758,Mineral fuels & oils,0,4079128758
ON,22,3745194042,Beverages & spirits,0,3745194042
QC,74,3609098028,Copper,0,3609098028
ON,34,3520655035,Soap & cleaning products,0,3520655035
ON,62,3507425412,Woven apparel,0,3507425412
ON,02,3499895641,Meat & offal,0,3499895641
MB,87,3457182284,Vehicles,0,3457182284
QC,28,3406734743,Inorganic chemicals,0,3406734743
QC,90,3238150650,Optical & medical instruments,0,3238150650
BC,27,3215565176,Mineral fuels & oils,0,3215565176
AB,85,3168709342,Electrical equipment,0,3168709342
ON,74,3117950542,Copper,0,3117950542
ON,18,3044404244,Cocoa & cocoa products,0,3044404244
QC,39,2973869530,Plastics,0,2973869530
ON,07,2953389716,Vegetables,0,2953389716
QC,71,2825632079,Precious metals & stones,0,2825632079
ON,32,2718141120,Tanning & dye extracts,0,2718141120
ON,83,2702259518,Miscellaneous metal articles,0,2702259518
SK,87,2595265297,Vehicles,0,2595265297
BC,39,2552973272,Plastics,0,2552973272
SK,27,2492842404,Mineral fuels & oils,0,2492842404
MB,85,2383753337,Electrical equipment,0,2383753337
ON,20,2350927599,Prepared vegetables,0,2350927599
BC,73,2347056810,Articles of iron & steel,0,2347056810
ON,70,2317816810,Glass,0,2317816810
ON,26,2317379998,"Ores, slag & ash",0,2317379998
QC,40,2281766461,Rubber,0,2281766461
BC,61,2273413647,Knitted apparel,0,2273413647
NL,84,2273402822,Machinery & mechanical appliances,0,2273402822
