date,code,hs2,imports,exports,commodity,total
2019-01,ON,87,5433760871.0,5468319113.0,Vehicles,10902079984.0
2019-01,ON,84,4181310874.0,1609840679.0,Machinery & mechanical appliances,5791151553.0
2019-01,AB,27,300109080.0,5382641328.0,Mineral fuels & oils,5682750408.0
2019-01,ON,85,3126065719.0,656222528.0,Electrical equipment,3782288247.0
2019-01,ON,71,1051039854.0,2492451426.0,Precious metals & stones,3543491280.0
2019-01,ON,39,1189911786.0,677761660.0,Plastics,1867673446.0
2019-01,QC,84,1090343382.0,741685154.0,Machinery & mechanical appliances,1832028536.0
2019-01,ON,30,1130292417.0,477186484.0,Pharmaceuticals,1607478901.0
2019-01,ZZ,99,0.0,1557058838.0,Confidential / low-value (CA),1557058838.0
2019-01,QC,27,1003268389.0,309691602.0,Mineral fuels & oils,1312959991.0
2019-01,BC,27,200976255.0,1013558598.0,Mineral fuels & oils,1214534853.0
2019-01,NB,27,626308106.0,525530416.0,Mineral fuels & oils,1151838522.0
2019-01,ON,90,852398655.0,282388532.0,Optical & medical instruments,1134787187.0
2019-01,ON,27,777168323.0,323890821.0,Mineral fuels & oils,1101059144.0
2019-01,NL,27,253577373.0,841714035.0,Mineral fuels & oils,1095291408.0
2019-01,ON,94,644231390.0,328013331.0,Furniture,972244721.0
2019-01,QC,88,327911934.0,639857657.0,Aircraft & spacecraft,967769591.0
2019-01,ON,72,420933111.0,482899875.0,Iron & steel,903832986.0
2019-01,BC,84,710627672.0,157742725.0,Machinery & mechanical appliances,868370397.0
2019-01,QC,85,589451404.0,238752913.0,Electrical equipment,828204317.0
2019-01,ON,73,568673374.0,228234370.0,Articles of iron & steel,796907744.0
2019-01,AB,84,425349207.0,310710805.0,Machinery & mechanical appliances,736060012.0
2019-01,BC,44,96596005.0,605961490.0,Wood & wood articles,702557495.0
2019-01,ON,99,479729653.0,214916104.0,Confidential / low-value (CA),694645757.0
2019-01,SK,31,23011788.0,655173967.0,Fertilizers,678185755.0
2019-01,ON,29,520645992.0,130878017.0,Organic chemicals,651524009.0
2019-01,QC,87,287158475.0,347214788.0,Vehicles,634373263.0
2019-01,MB,84,487425961.0,106144273.0,Machinery & mechanical appliances,593570234.0
2019-01,ON,48,392167436.0,197979102.0,Paper & paperboard,590146538.0
2019-01,QC,76,96877816.0,474930231.0,Aluminium,571808047.0
2019-01,QC,48,103241355.0,455218667.0,Paper & paperboard,558460022.0
2019-01,AB,88,550625690.0,7105946.0,Aircraft & spacecraft,557731636.0
2019-01,ON,19,231952832.0,319924370.0,Prepared cereals,551877202.0
2019-01,ZZ,84,0.0,544596041.0,Machinery & mechanical appliances,544596041.0
2019-01,AB,39,103903609.0,398479146.0,Plastics,502382755.0
2019-01,BC,85,424430402.0,74601891.0,Electrical equipment,499032293.0
2019-01,ON,76,294103625.0,198559094.0,Aluminium,492662719.0
2019-01,ON,88,280402610.0,210924478.0,Aircraft & spacecraft,491327088.0
2019-01,ON,40,368876753.0,122095576.0,Rubber,490972329.0
2019-01,QC,39,238354850.0,243506342.0,Plastics,481861192.0
2019-01,QC,26,100275561.0,347833216.0,"Ores, slag & ash",448108777.0
2019-01,NS,87,415681357.0,10052828.0,Vehicles,425734185.0
2019-01,SK,27,33548167.0,383198806.0,Mineral fuels & oils,416746973.0
2019-01,ON,33,299941130.0,113023701.0,Cosmetics & perfumes,412964831.0
2019-01,BC,87,344697653.0,65248329.0,Vehicles,409945982.0
2019-01,ON,38,257177067.0,145047810.0,Misc chemical products,402224877.0
2019-01,ON,28,162619756.0,220851657.0,Inorganic chemicals,383471413.0
2019-01,QC,90,215961829.0,164057126.0,Optical & medical instruments,380018955.0
2019-01,QC,30,281007911.0,90117543.0,Pharmaceuticals,371125454.0
2019-01,SK,10,12264521.0,354639169.0,Cereals,366903690.0
2019-01,SK,84,307074989.0,57683209.0,Machinery & mechanical appliances,364758198.0
2019-01,BC,47,613853.0,357465705.0,Wood pulp,358079558.0
2019-01,MB,87,227743815.0,112529036.0,Vehicles,340272851.0
2019-01,QC,44,87740184.0,247890572.0,Wood & wood articles,335630756.0
2019-01,ON,07,271294664.0,57271648.0,Vegetables,328566312.0
2019-01,QC,72,181961297.0,139671169.0,Iron & steel,321632466.0
2019-01,QC,94,186304899.0,134359180.0,Furniture,320664079.0
2019-01,AB,29,57485734.0,259948228.0,Organic chemicals,317433962.0
2019-01,ON,21,229869864.0,86371622.0,Misc food preparations,316241486.0
2019-01,ZZ,87,0.0,309748000.0,Vehicles,309748000.0
2019-01,ON,83,199018812.0,109134749.0,Miscellaneous metal articles,308153561.0
2019-01,SK,12,774407.0,299768339.0,Oil seeds,300542746.0
2019-01,ZZ,85,0.0,298786967.0,Electrical equipment,298786967.0
2019-01,ON,62,245028746.0,36877123.0,Woven apparel,281905869.0
2019-01,BC,26,67189141.0,205222912.0,"Ores, slag & ash",272412053.0
2019-01,ON,61,261177895.0,6884544.0,Knitted apparel,268062439.0
2019-01,ON,34,198872515.0,62156978.0,Soap & cleaning products,261029493.0
2019-01,ON,08,255028004.0,4421558.0,Fruit & nuts,259449562.0
2019-01,QC,74,45959251.0,212611002.0,Copper,258570253.0
2019-01,ON,44,119681345.0,135991380.0,Wood & wood articles,255672725.0
2019-01,QC,73,142181549.0,108100254.0,Articles of iron & steel,250281803.0
2019-01,ON,22,178539467.0,67092006.0,Beverages & spirits,245631473.0
2019-01,AB,85,189728621.0,55337865.0,Electrical equipment,245066486.0
2019-01,ON,32,178709106.0,65036553.0,Tanning & dye extracts,243745659.0
2019-01,ON,02,148214170.0,95508685.0,Meat & offal,243722855.0
2019-01,QC,28,169077514.0,71050207.0,Inorganic chemicals,240127721.0
2019-01,QC,40,158979134.0,77875331.0,Rubber,236854465.0
2019-01,AB,02,1789770.0,224090577.0,Meat & offal,225880347.0
2019-01,ON,95,208509639.0,16869911.0,Toys & sports equipment,225379550.0
2019-01,ON,74,138514603.0,86477204.0,Copper,224991807.0
2019-01,AB,10,19637782.0,205181169.0,Cereals,224818951.0
2019-01,BC,73,184358693.0,30646892.0,Articles of iron & steel,215005585.0
2019-01,BC,39,175514143.0,39382185.0,Plastics,214896328.0
2019-01,ON,70,182881512.0,28215844.0,Glass,211097356.0
2019-01,QC,71,106240924.0,102657338.0,Precious metals & stones,208898262.0
2019-01,BC,94,168734228.0,34496651.0,Furniture,203230879.0
2019-01,SK,07,6155631.0,197016297.0,Vegetables,203171928.0
2019-01,ON,75,21449145.0,168115521.0,Nickel,189564666.0
2019-01,ON,96,122545660.0,63366390.0,Miscellaneous manufactures,185912050.0
2019-01,ON,49,150352966.0,33250800.0,Printed books & media,183603766.0
2019-01,ON,64,179837091.0,1948327.0,Footwear,181785418.0
2019-01,NL,26,0.0,181690219.0,"Ores, slag & ash",181690219.0
2019-01,ON,20,140248460.0,41385047.0,Prepared vegetables,181633507.0
2019-01,ON,82,144504982.0,36227221.0,Tools & cutlery,180732203.0
2019-01,BC,61,176632879.0,3368082.0,Knitted apparel,180000961.0
2019-01,AB,47,12593.0,179271896.0,Wood pulp,179284489.0
2019-01,BC,76,66205179.0,112219279.0,Aluminium,178424458.0
2019-01,BC,62,173099456.0,3601507.0,Woven apparel,176700963.0
2019-01,BC,90,114637573.0,59565417.0,Optical & medical instruments,174202990.0
2019-01,MB,88,121088642.0,48710424.0,Aircraft & spacecraft,169799066.0
2019-01,ON,23,113896177.0,55469015.0,Food industry residues,169365192.0
2019-01,MB,30,5936115.0,162142749.0,Pharmaceuticals,168078864.0
2019-01,QC,62,144235935.0,23509737.0,Woven apparel,167745672.0
2019-01,QC,61,150681836.0,16789249.0,Knitted apparel,167471085.0
2019-01,SK,87,150212721.0,12762482.0,Vehicles,162975203.0
2019-01,NS,03,17066147.0,145558919.0,Fish & seafood,162625066.0
2019-01,BC,03,72683132.0,88383010.0,Fish & seafood,161066142.0
2019-01,ON,68,84452079.0,75984045.0,Stone & cement articles,160436124.0
2019-01,QC,18,69023775.0,91015026.0,Cocoa & cocoa products,160038801.0
2019-01,AB,73,119566671.0,39936207.0,Articles of iron & steel,159502878.0
2019-01,QC,02,13343498.0,146154543.0,Meat & offal,159498041.0
2019-01,BC,48,70695191.0,80796973.0,Paper & paperboard,151492164.0
2019-01,SK,15,11571286.0,136698400.0,Animal/veg fats & oils,148269686.0
2019-01,MB,85,126996559.0,19950049.0,Electrical equipment,146946608.0
2019-01,AB,87,104265877.0,41903265.0,Vehicles,146169142.0
2019-01,AB,12,6364480.0,139107106.0,Oil seeds,145471586.0
2019-01,ON,18,85620427.0,57027927.0,Cocoa & cocoa products,142648354.0
2019-01,QC,99,33944209.0,106874797.0,Confidential / low-value (CA),140819006.0
2019-01,BC,28,112310309.0,27375174.0,Inorganic chemicals,139685483.0
2019-01,ON,12,80898569.0,56232168.0,Oil seeds,137130737.0
2019-01,MB,10,11337239.0,124267534.0,Cereals,135604773.0
2019-01,BC,88,95004325.0,39639191.0,Aircraft & spacecraft,134643516.0
2019-01,MB,39,96945399.0,36733746.0,Plastics,133679145.0
2019-01,QC,22,99216151.0,33105359.0,Beverages & spirits,132321510.0
2019-01,ZZ,90,0.0,131303570.0,Optical & medical instruments,131303570.0
2019-01,BC,72,102527751.0,27316039.0,Iron & steel,129843790.0
2019-01,AB,44,12131613.0,116503754.0,Wood & wood articles,128635367.0
2019-01,NT,71,0.0,127928848.0,Precious metals & stones,127928848.0
2019-01,ON,86,116773386.0,8853970.0,Railway equipment,125627356.0
2019-01,BC,08,108985918.0,15726521.0,Fruit & nuts,124712439.0
2019-01,QC,47,19961284.0,103963804.0,Wood pulp,123925088.0
2019-01,AB,90,84435517.0,38092171.0,Optical & medical instruments,122527688.0
2019-01,ON,09,94404030.0,27853948.0,"Coffee, tea & spices",122257978.0
2019-01,NS,40,15494313.0,104616784.0,Rubber,120111097.0
2019-01,QC,29,85218590.0,33011146.0,Organic chemicals,118229736.0
2019-01,QC,33,54036925.0,61990762.0,Cosmetics & perfumes,116027687.0
2019-01,QC,38,45124822.0,70275187.0,Misc chemical products,115400009.0
2019-01,ON,42,108722158.0,5514021.0,Leather goods,114236179.0
2019-01,BC,07,92063177.0,21971166.0,Vegetables,114034343.0
2019-01,NL,89,113931941.0,0.0,Ships & boats,113931941.0
2019-01,ON,10,77661511.0,35253568.0,Cereals,112915079.0
2019-01,ON,03,93546321.0,18675491.0,Fish & seafood,112221812.0
2019-01,ZZ,30,0.0,109021416.0,Pharmaceuticals,109021416.0
2019-01,QC,08,93878638.0,12621775.0,Fruit & nuts,106500413.0
2019-01,ON,26,98427272.0,3426365.0,"Ores, slag & ash",101853637.0
2019-01,ON,63,77435691.0,24205670.0,Other made-up textiles,101641361.0
2019-01,ON,16,89889157.0,8790047.0,Prepared meat & fish,98679204.0
2019-01,NB,03,20653635.0,77224071.0,Fish & seafood,97877706.0
2019-01,MB,12,11202889.0,86044950.0,Oil seeds,97247839.0
2019-01,AB,22,89865729.0,6566802.0,Beverages & spirits,96432531.0
2019-01,QC,64,90928309.0,4996208.0,Footwear,95924517.0
2019-01,ON,47,32028337.0,59257413.0,Wood pulp,91285750.0
2019-01,AB,15,5441300.0,84575918.0,Animal/veg fats & oils,90017218.0
2019-01,SK,73,30278237.0,59055204.0,Articles of iron & steel,89333441.0
2019-01,ON,17,45859514.0,42833827.0,Sugars,88693341.0
2019-01,MB,02,3236598.0,83563156.0,Meat & offal,86799754.0
2019-01,AB,94,55176208.0,31248983.0,Furniture,86425191.0
2019-01,ON,35,75356661.0,11055407.0,Protein substances,86412068.0
2019-01,BC,38,64632673.0,21175047.0,Misc chemical products,85807720.0
2019-01,MB,73,75840102.0,9360075.0,Articles of iron & steel,85200177.0
2019-01,AB,07,53386302.0,31075699.0,Vegetables,84462001.0
2019-01,SK,23,7608104.0,76104497.0,Food industry residues,83712601.0
2019-01,BC,95,76344345.0,7208621.0,Toys & sports equipment,83552966.0
2019-01,BC,79,585711.0,80434002.0,Zinc,81019713.0
2019-01,MB,38,80766749.0,206613.0,Misc chemical products,80973362.0
2019-01,BC,64,80741329.0,98799.0,Footwear,80840128.0
2019-01,AB,01,10842222.0,69956385.0,Live animals,80798607.0
2019-01,BC,21,40766639.0,39597769.0,Misc food preparations,80364408.0
2019-01,ON,15,51272943.0,28269224.0,Animal/veg fats & oils,79542167.0
2019-01,ON,25,29845729.0,49574678.0,"Salt, sulphur, stone, cement",79420407.0
2019-01,AB,25,16527172.0,62595296.0,"Salt, sulphur, stone, cement",79122468.0
2019-01,SK,38,72096885.0,5334248.0,Misc chemical products,77431133.0
2019-01,QC,95,54268700.0,22734572.0,Toys & sports equipment,77003272.0
2019-01,AB,23,18976882.0,56768046.0,Food industry residues,75744928.0
2019-01,QC,17,24201513.0,51162096.0,Sugars,75363609.0
2019-01,ON,69,67180363.0,7279913.0,Ceramic products,74460276.0
2019-01,BC,22,69832849.0,4135879.0,Beverages & spirits,73968728.0
2019-01,ON,81,44401051.0,28770608.0,Other base metals,73171659.0
2019-01,QC,21,20904391.0,52179855.0,Misc food preparations,73084246.0
2019-01,NS,27,65584909.0,5031051.0,Mineral fuels & oils,70615960.0
2019-01,NS,99,60916174.0,9489153.0,Confidential / low-value (CA),70405327.0
2019-01,ON,98,13492688.0,56685458.0,Special transactions (CA),70178146.0
2019-01,BC,20,50482137.0,18380697.0,Prepared vegetables,68862834.0
2019-01,MB,27,30075117.0,38486001.0,Mineral fuels & oils,68561118.0
2019-01,BC,40,64411617.0,3923359.0,Rubber,68334976.0
2019-01,QC,32,26646012.0,41512791.0,Tanning & dye extracts,68158803.0
2019-01,BC,19,38526856.0,29607056.0,Prepared cereals,68133912.0
2019-01,AB,38,41863984.0,26125640.0,Misc chemical products,67989624.0
2019-01,AB,31,27795851.0,39600674.0,Fertilizers,67396525.0
2019-01,QC,19,28400192.0,38773387.0,Prepared cereals,67173579.0
2019-01,QC,89,58348009.0,8721626.0,Ships & boats,67069635.0
2019-01,QC,83,44381102.0,21911014.0,Miscellaneous metal articles,66292116.0
2019-01,ON,54,27824304.0,36304744.0,Man-made filaments,64129048.0
2019-01,ON,59,31035324.0,32742658.0,Coated textiles,63777982.0
2019-01,ZZ,88,0.0,62851381.0,Aircraft & spacecraft,62851381.0
2019-01,QC,20,36994187.0,25632821.0,Prepared vegetables,62627008.0
2019-01,QC,31,58432114.0,3839802.0,Fertilizers,62271916.0
2019-01,NS,84,49482522.0,12711404.0,Machinery & mechanical appliances,62193926.0
2019-01,NB,47,4544385.0,57352541.0,Wood pulp,61896926.0
2019-01,NB,48,8902854.0,52508203.0,Paper & paperboard,61411057.0
2019-01,NB,44,11561737.0,49593074.0,Wood & wood articles,61154811.0
2019-01,ZZ,07,0.0,58162308.0,Vegetables,58162308.0
2019-01,MB,48,32137333.0,25342208.0,Paper & paperboard,57479541.0
2019-01,MB,90,47809718.0,9519374.0,Optical & medical instruments,57329092.0
2019-01,ON,56,45652561.0,10692792.0,Wadding & felt,56345353.0
2019-01,AB,28,13732530.0,41639372.0,Inorganic chemicals,55371902.0
2019-01,AB,75,2518523.0,52263305.0,Nickel,54781828.0
2019-01,MB,31,41713066.0,12831577.0,Fertilizers,54544643.0
2019-01,QC,98,2743050.0,51709931.0,Special transactions (CA),54452981.0
2019-01,ZZ,73,0.0,54249568.0,Articles of iron & steel,54249568.0
2019-01,QC,79,1248705.0,52859240.0,Zinc,54107945.0
2019-01,ON,04,38210221.0,15714832.0,Dairy products,53925053.0
2019-01,MB,94,36136401.0,17547354.0,Furniture,53683755.0
2019-01,QC,07,28243293.0,24928440.0,Vegetables,53171733.0
2019-01,QC,42,48422276.0,3211268.0,Leather goods,51633544.0
2019-01,ZZ,98,0.0,51121302.0,Special transactions (CA),51121302.0
2019-01,NB,84,36220418.0,14412168.0,Machinery & mechanical appliances,50632586.0
2019-01,AB,72,33078160.0,17007237.0,Iron & steel,50085397.0
2019-01,QC,70,40782937.0,9044238.0,Glass,49827175.0
2019-01,QC,68,22253696.0,26220043.0,Stone & cement articles,48473739.0
2019-01,ZZ,94,0.0,48262372.0,Furniture,48262372.0
