date,code,imports,exports,name,total
2019-01,ON,28284927553.0,0.0,Ontario,28284927553.0
2019-01,QC,7358217686.0,0.0,Quebec,7358217686.0
2019-01,BC,4791612225.0,0.0,British Columbia,4791612225.0
2019-01,AB,2731924380.0,0.0,Alberta,2731924380.0
2019-01,MB,1885417771.0,0.0,Manitoba,1885417771.0
2019-01,SK,921847977.0,0.0,Saskatchewan,921847977.0
2019-01,NB,871392023.0,0.0,New Brunswick,871392023.0
2019-01,NS,742651723.0,0.0,Nova Scotia,742651723.0
2019-01,NL,437334924.0,0.0,Newfoundland & Labrador,437334924.0
2019-01,PE,8448445.0,0.0,Prince Edward Island,8448445.0
2019-01,YT,919738.0,0.0,Yukon,919738.0
2019-01,NT,91757.0,0.0,Northwest Territories,91757.0
2019-02,ON,28393246882.0,0.0,Ontario,28393246882.0
2019-02,QC,7140403201.0,0.0,Quebec,7140403201.0
2019-02,BC,3972383444.0,0.0,British Columbia,3972383444.0
2019-02,AB,2200354754.0,0.0,Alberta,2200354754.0
2019-02,MB,1788327272.0,0.0,Manitoba,1788327272.0
2019-02,SK,864559556.0,0.0,Saskatchewan,864559556.0
2019-02,NB,853305651.0,0.0,New Brunswick,853305651.0
2019-02,NS,773138336.0,0.0,Nova Scotia,773138336.0
2019-02,NL,344572618.0,0.0,Newfoundland & Labrador,344572618.0
2019-02,NU,2792580.0,0.0,Nunavut,2792580.0
2019-02,PE,1217889.0,0.0,Prince Edward Island,1217889.0
2019-02,YT,1084053.0,0.0,Yukon,1084053.0
2019-03,ON,32967925994.0,0.0,Ontario,32967925994.0
2019-03,QC,7343680786.0,0.0,Quebec,7343680786.0
2019-03,BC,5069349934.0,0.0,British Columbia,5069349934.0
2019-03,AB,2536936217.0,0.0,Alberta,2536936217.0
2019-03,MB,2154520590.0,0.0,Manitoba,2154520590.0
2019-03,SK,1093466350.0,0.0,Saskatchewan,1093466350.0
2019-03,NB,1027505924.0,0.0,New Brunswick,1027505924.0
2019-03,NS,920912457.0,0.0,Nova Scotia,920912457.0
2019-03,NL,480255577.0,0.0,Newfoundland & Labrador,480255577.0
2019-03,PE,4873620.0,0.0,Prince Edward Island,4873620.0
2019-03,YT,2798874.0,0.0,Yukon,2798874.0
2019-03,NT,63005.0,0.0,Northwest Territories,63005.0
2019-04,ON,31025478564.0,0.0,Ontario,31025478564.0
2019-04,QC,8260423311.0,0.0,Quebec,8260423311.0
2019-04,BC,4952497089.0,0.0,British Columbia,4952497089.0
2019-04,AB,2445953843.0,0.0,Alberta,2445953843.0
2019-04,MB,2105833916.0,0.0,Manitoba,2105833916.0
2019-04,NB,1062133294.0,0.0,New Brunswick,1062133294.0
2019-04,SK,994408581.0,0.0,Saskatchewan,994408581.0
2019-04,NS,913988683.0,0.0,Nova Scotia,913988683.0
2019-04,NL,261640239.0,0.0,Newfoundland & Labrador,261640239.0
2019-04,PE,5029312.0,0.0,Prince Edward Island,5029312.0
2019-04,YT,3721180.0,0.0,Yukon,3721180.0
2019-05,ON,33063021875.0,0.0,Ontario,33063021875.0
2019-05,QC,8105853417.0,0.0,Quebec,8105853417.0
2019-05,BC,4878948869.0,0.0,British Columbia,4878948869.0
2019-05,AB,2522372416.0,0.0,Alberta,2522372416.0
2019-05,MB,2053234767.0,0.0,Manitoba,2053234767.0
2019-05,NB,1318516714.0,0.0,New Brunswick,1318516714.0
